chinese,count,korean,english
騎士,3,,
於金馬,3,,
朱貝爾,3,,
文告,3,,
琉的,3,,
鬥志,3,,
跑票,3,,
牛排,3,,
利己,3,,
全是,3,,
古鎮,3,,
美學,3,,
大腿,3,,
尿,3,,
中牌,3,,
影視音,3,,
隔閡,3,,
古柏,3,,
曼斯,3,,
踢踢,3,,
性比,3,,
雲南,3,윈난 성,"Yunnan Province, China"
弘,3,,
保養品,3,,
振興,3,,
老牌,3,,
奠基,3,,
敦化,3,,
習拜會,3,습배회,worship service
英中,3,,
五國,3,오국,Five Nations
巴盧,3,,
借題,3,,
公平合理,3,,
全盛,3,,
學金,3,,
心血,3,,
中華區,3,,
化生,3,,
互通,3,서로 통하다,communicate with each other
淑慧,3,숙혜,be gentle and wise
禽獸,3,,
糾紛,3,분쟁,dispute
現折,3,,
陳喬恩,3,,
勇者,3,,
巨幅,3,,
秉公,3,,
日及,3,,
指教,3,,
佳世達,3,,
筆記,3,,
法務,3,,
互操作性,3,,
著墨,3,,
航太產業,3,,
華藍蓬,3,,
貓膩,3,,
四劑,3,,
龍蓮寺,3,,
和南,3,,
玩,3,,
文指,3,,
印方,3,,
敏感性,3,감수성,sensitivity
修正版,3,,
威剛,3,,
濱田靖,3,,
冒險,3,모험을 하다.,take a risk
於華,3,,
步,3,,
真情,3,,
光業,3,,
朱凱翔,3,,
證物,3,,
同行人,3,,
鋰,3,리튬,Lithium (disambiguation)
從未,3,,
次殖民地,3,,
原材料,3,원재료,Raw materials
謎,3,,
祝賀,3,축하드립니다.,Congratulations.
長及,3,,
賣場,3,,
核二廠,3,,
張欣,3,,
證明書,3,,
劇本,3,,
名車,3,,
洪志昌,3,,
人壽,3,생명,Life expectancy
服刑,3,,
工商界,3,상공계,the business world
礦場,3,,
舌頭,3,,
停蹄,3,,
歐中,3,,
陳慧明,3,,
藍綠白,3,,
概率,3,,
化學品,3,,
照理,3,,
套,3,,
陽明山,3,,
黃國昌,3,,
字節,3,,
主旨,3,주지,gist
關公,3,,
季增,3,,
胡健森,3,,
林智,3,린즈,Lin Ji (disambiguation)
街口,3,,
耳,3,,
股本,3,,
佛系,3,,
禮儀,3,,
光環,3,,
俊,3,,
希臘,3,그리스,Greek national football team
花蓮人,3,,
季線,3,시즌 라인,seasonal line
重慶市,3,,
杜絕,3,,
貴溪,3,,
田徑,3,,
王筱嬋,3,,
蓋率,3,,
連絡,3,,
劑涵,3,,
小吃,3,,
分齡,3,,
特用戶,3,,
扣帽子,3,,
殷弘,3,은홍,to be generous
西門子,3,,
外客,3,,
耶夫,3,,
情人,3,,
詩,3,,
三者,3,,
魏嘉賢,3,,
戰況,3,전황,the state of war
核發,3,,
錯覺,3,,
列,3,,
宜居城市,3,,
北東,3,,
部經理,3,,
灌水,3,,
電壓,3,,
品,3,품행,goods
階段性,3,,
嫌疑人,3,,
布建,3,,
女人,3,,
查明,3,,
刺槍術,3,,
馬基,3,마키,Machi (disambiguation)
口碑,3,,
強姦,3,,
建材,3,,
門牌,3,,
金法,3,,
塔綠班,3,,
流橋,3,,
賴建程,3,,
村委,3,,
錯失,3,,
突圍,3,,
本錢,3,,
外遇,3,,
戰格,3,,
重磅,3,,
團客,3,,
中居,3,,
肌膚,3,,
全系,3,,
訓場,3,,
三權,3,,
霍普金斯,3,,
思明,3,,
錢薇娟,3,,
高價,3,고가,high price
軍階,3,,
詹宗煌,3,,
平等互惠,3,,
季節,3,,
客座率,3,,
臣服,3,,
營利,3,,
終點,3,,
北海岸,3,,
張力,3,,
桑那州,3,,
獄中,3,,
紙張,3,,
邊民,3,,
薯條,3,,
礦工,3,,
招名威,3,,
喬治亞,3,,
軍閥,3,,
力保,3,,
第三者,3,,
關口,3,,
高分,3,,
中法,3,,
頸部,3,,
距視訊,3,,
軍國,3,,
神隱,3,,
縱觀,3,,
陳琬惠,3,,
厚生,3,,
工程院,3,,
院院,3,,
民工,3,,
南瑪都,3,,
客服,3,,
中韓,3,중한,China and South Korea
金融中心,3,파이낸스 센터,financial center
權鬥士,3,,
零售商,3,,
炸彈,3,폭탄,Bombs (disambiguation)
清冠,3,,
公廣集團,3,,
明言,3,명언,a clear statement
消費力,3,,
廉政,3,,
夏慕尼,3,,
救助金,3,,
北台,3,,
上位,3,,
戴爾特,3,,
東路,3,,
韭菜,3,,
蔡育輝,3,,
南路,3,,
暨永齡,3,,
時序,3,,
水柱,3,,
有情,3,,
傾巢,3,,
黃世傑,3,,
噩夢,3,,
高架,3,,
域性,3,역성,regional characteristic
全島,3,,
斷水,3,,
線上,3,,
電波,3,,
合式,3,,
近地,3,,
曼達維亞,3,,
中和,3,,
廣播電視,3,,
軍費,3,군비,Military expenditure
決賽,3,,
廟口,3,,
全縣,3,,
法西斯主,3,,
罪人,3,,
中新社,3,중신사,China News Agency
心血管,3,,
渠道,3,방법,channel
收尾,3,,
出線,3,,
職稱,3,,
塔斯社,3,,
坡,3,,
張其祿,3,장기록,Zhang Qilu (disambiguation)
節省,3,,
坎培拉,3,,
陳重文,3,,
整地,3,,
進的,3,,
換發,3,,
定論,3,,
中油,3,중유,China Petroleum Corporation
出貨,3,,
合理性,3,,
估值,3,병실,ward
公使,3,,
手裡,3,,
物聯網,3,사물인터넷,Internet of Things (IoT)
鳳凰網,3,,
中南海,3,중남해,South China Sea
意間,3,,
胡同,3,,
自主性,3,자주성,autonomy
康貝爾,3,,
檔期,3,,
黨意,3,,
功臣,3,,
兵家,3,,
吳亮賢,3,,
跳板,3,,
花瓶,3,,
電源,3,,
雷同,3,,
生活圈,3,,
莫里森,3,모리슨,Morrison (disambiguation)
招標,3,,
西屯區,3,,
喜餅,3,,
心路,3,,
五五波,3,,
區劃,3,,
寒暄,3,,
大禮,3,,
軟板,3,,
上機,3,,
儀館,3,,
衣索,3,,
陳薇仲,3,,
餐桌,3,,
投資標,3,,
連國,3,,
發性,3,,
亞國,3,,
家間,3,,
鮮花,3,,
鐵線,3,,
諸島,3,제도,Isles (disambiguation)
黃希賢,3,,
乾杯,3,,
訂票,3,,
佐科威,3,조코위,Jokowi (disambiguation)
圖文,3,,
思潮,3,,
圓桌,3,,
共用,3,공용,share
隔空,3,,
平秀琳,3,,
黑馬,3,,
知名人士,3,,
行動者,3,,
通車,3,,
身材,3,,
金馬地區,3,,
鎮地區,3,,
頭銜,2,,
普通型,2,,
胡瑞訓,2,,
前動工,2,,
強,2,,
烽火,2,,
馬定,2,,
長度,2,,
六都,2,,
交通船,2,,
底層,2,,
衛生署,2,,
冷笑,2,,
連天,2,,
洪門,2,,
中兩國,2,,
難度,2,,
於中越,2,,
馬曉偉,2,,
葉培城,2,,
泌尿科,2,,
炎亞綸,2,,
雪崩,2,,
石二鳥,2,,
編,2,,
浴巾,2,,
心智,2,,
線索,2,,
海疆,2,,
保值,2,,
歐亞,2,정계,political circles
高性能,2,,
山鄉,2,,
問金,2,,
用具,2,,
胃腸炎,2,,
框出,2,,
漁業,2,어업,Fisheries
史佩弗,2,,
法系,2,,
市衛生,2,,
框寧波,2,,
提名者,2,,
匯豐銀行,2,,
漳州,2,,
盛會,2,,
肇因,2,,
共產黨黨委,2,,
賣菜,2,,
載運,2,,
艾雷洛,2,,
燕郊,2,,
亞塞拜,2,,
兩碼,2,,
用詞,2,,
空言,2,,
貿,2,,
千坪,2,,
王仁元,2,,
烏戰,2,,
大前提,2,,
博爾索納羅,2,,
區性,2,,
里程,2,,
吳木鑾,2,,
手頭,2,,
化驗,2,,
門窗,2,,
踢皮球,2,,
信商,2,,
單坪,2,,
沙盤,2,,
美國員工,2,,
採樣,2,,
金馬民,2,,
紐帶,2,,
武謀,2,,
烏魯木齊路,2,,
游刃,2,,
縣地,2,,
院外,2,,
大團,2,,
謝震武,2,,
首長候,2,,
禮堂,2,,
亞運國,2,,
主婚人,2,,
區北,2,,
名列,2,랭킹,rank
選拔,2,,
瑋,2,,
高架道路,2,,
延遲,2,,
底布,2,,
生生,2,,
上鮮,2,,
寸步,2,,
贏家,2,우승자,winner
社則,2,,
快遞員,2,,
教,2,,
過世,2,,
喇叭,2,,
大熱,2,,
鄭太吉,2,,
國昌,2,,
奶,2,,
關注候,2,,
密西根,2,,
信譽,2,,
世大運,2,,
苗栗市,2,,
燕京,2,,
新產業,2,,
南翼,2,,
翼國,2,,
協空間,2,,
風雲,2,바람과 구름,wind and clouds
隱患,2,,
亞歷,2,,
水滴,2,,
由延遲,2,,
零碳,2,,
酒黨,2,,
快件,2,,
先用,2,,
高鑫,2,,
消防人,2,,
特網友,2,,
地主,2,,
脫皮,2,,
憲政,2,헌정,Constitutional government
盧秀,2,,
三通,2,,
牙齒,2,,
縫隙,2,,
人面,2,,
行政效率,2,,
位處,2,,
黑貓,2,,
計數,2,,
肖,2,,
大振,2,,
正文,2,,
沛恩,2,,
底子薄,2,,
長雷蒙多,2,라몬도,Long Remondo (disambiguation)
講師,2,,
移民局,2,,
孟,2,,
締約方,2,,
德里,2,,
駐法,2,,
裔,2,예,race
裁判官,2,,
專書,2,,
天貓,2,,
園林,2,,
羅福助,2,,
建商,2,건설업자,builder
牟利,2,,
人員數,2,,
中研院,2,중국연구원,Chinese Academy of Sciences
市輔,2,,
珍視,2,,
天篩,2,,
互聯,2,,
報警,2,,
狗票,2,,
長鄭,2,,
施正鋒,2,시정봉,Shi Zhenfeng (disambiguation)
投效,2,,
梁孟松,2,,
圖資,2,,
度者,2,,
風貌,2,,
藥商,2,,
大體,2,,
魔王,2,,
老,2,노,old man
女金,2,,
言辭,2,,
老外,2,,
朱愛,2,,
成法,2,,
化石,2,화석,fossil
巴爾,2,,
貸,2,,
武漢市,2,,
名將,2,,
護理師,2,,
美麗灣,2,,
人醫,2,,
蘋安,2,,
身試法,2,,
寶瓶星,2,,
農田,2,,
限令,2,,
聞泰,2,,
郭英蘭,2,,
巧遇,2,,
聲明書,2,,
黨領,2,,
公主,2,,
掛民,2,,
人治,2,,
頹勢,2,,
天壤,2,,
號令,2,,
東京外國語大學,2,,
面陽性,2,,
攻擊性,2,,
網課,2,,
武林,2,,
熱水,2,,
快訊,2,,
蒙田,2,,
瑪格羅比,2,,
瑪,2,,
岸置,2,,
準確率,2,,
愛女,2,,
球女,2,,
許意隆,2,,
安特衛普港,2,,
命案,2,,
兵棋,2,,
冰島,2,,
曹大剛,2,,
大巫,2,,
極度,2,,
函示,2,,
艾格蒙,2,,
關係是什,2,,
金援,2,,
商業性,2,,
麥克,2,,
屋內,2,,
方私訊,2,,
祖雄,2,,
提案人,2,,
商船,2,,
私訊,2,,
艾米尼,2,,
渡輪,2,,
信件,2,,
因症,2,,
意向,2,의향,Intention
腦病,2,,
考題,2,,
亞網,2,,
水利,2,수리,water conservancy
小陽,2,,
職缺,2,,
實價,2,,
金朱愛,2,,
成屋,2,,
分館,2,,
首站,2,,
員資格,2,,
奧蘭,2,,
費力,2,,
星空,2,,
長艾格,2,,
佛奇,2,,
同場,2,,
婚宴,2,,
和聯發科,2,,
宛若,2,,
拜拜,2,,
負向,2,,
法國外貿銀行,2,,
全長,2,,
刀口,2,,
中國海關總局,2,,
投身,2,몸을 던지다,throw oneself into
之島,2,,
子虛烏,2,,
鰹魚,2,,
互槓,2,,
大礙,2,,
趙怡翔,2,,
排水量,2,,
抗俄軍,2,,
穆斯塔法,2,,
事業群,2,,
韓聯,2,,
縣候,2,,
口譯哥,2,,
群營,2,,
溪湖,2,,
國三,2,,
功夫,2,,
腦瘤,2,,
洪本,2,,
王紀秋,2,,
日月潭,2,,
人民意志,2,,
氣管線,2,,
美國設廠,2,,
名南,2,,
焦傳金,2,,
用法,2,,
聯邦參議院,2,,
圓廠,2,,
陳慧玲,2,,
出港,2,,
馬公,2,,
戰艦,2,전함,battleship
公館,2,,
壹蘋即時報報壹蘋娛,2,,
林思銘,2,,
王滬,2,,
校正,2,,
地因,2,,
澳洲人,2,,
諧音,2,,
盧沙野,2,루사야,Lusha Field (disambiguation)
爭議性,2,,
蘇西,2,,
大戲,2,,
獵人,2,,
文者,2,,
眼界,2,,
逆差,2,적자,deficit
班表,2,,
分階段,2,,
智力,2,,
記本,2,,
沈寂,2,,
背包,2,,
鎮痛,2,,
市黨部,2,,
收場,2,결말,close
評,2,,
退休金,2,,
朱俊源,2,,
航網,2,,
刺客,2,,
代言,2,,
領隊,2,,
國寶,2,,
水運,2,,
中國共設有,2,,
場峰,2,,
柯志騰,2,,
策畫,2,,
行駛,2,,
儘管蘋果,2,,
礦業,2,,
監視器,2,,
模範生,2,,
武官,2,,
不分,2,,
史考特,2,,
湖,2,,
煙火,2,,
意氣,2,,
產權局,2,,
認同度,2,,
國國王,2,,
靈肉,2,,
雄心,2,웅대한 뜻,ambition
養病,2,,
聯絡人,2,,
縣議員候,2,,
陳希,2,,
黨議員,2,당 의원,Member of Parliament
林園,2,,
黨委委員,2,,
香港市民,2,,
產物,2,산물,product
萬盧布,2,,
步兵旅,2,,
懷念,2,,
肋,2,,
症,2,,
偏差,2,,
市長室,2,,
靴子,2,,
外套,2,,
鏈廠,2,,
小港,2,,
貴人,2,,
用水,2,,
血淚,2,,
德隆,2,,
飲,2,,
農用,2,,
鴉,2,,
病症,2,,
體育場,2,,
成具,2,,
生態系,2,,
費承諾,2,,
四星,2,,
美法,2,,
燃氣,2,,
牧民,2,,
巴札克,2,,
謝鋼,2,,
帽,2,,
示人,2,,
投資人,2,,
委,2,,
氣分,2,,
楊俊毓,2,,
大逆,2,,
現員,2,,
望月,2,,
高調,2,탁상공론,high-profile
郭瑞坤,2,,
鋪路,2,도로를 포장하다,pave the way
局和軍,2,,
寄件,2,,
著國際,2,,
師範,2,,
歡度,2,,
大學性,2,,
自衛,2,,
於花蓮,2,,
機棚,2,,
齒,2,,
田野,2,,
視頻,2,접종률,inoculation rate
戰的,2,,
延長賽,2,,
聯亞,2,,
沙拉,2,,
科研,2,과학 연구,Scientific research
鏈移,2,,
敘利亞,2,시리아,Syrian Arab Republic
巨變,2,,
龍華,2,,
墨卡托,2,,
圍島,2,,
穿孔,2,,
妻小,2,,
等員,2,,
韋柏,2,,
國民義務,2,,
志願者,2,,
親口,2,,
臥室,2,,
大立光,2,오타치 미쓰루,Great Rikko Corporation
李立明,2,,
工是,2,,
跌價,2,,
猛親,2,,
耳機,2,,
執念,2,,
深海,2,,
海參崴,2,,
水療,2,,
步道,2,,
優先施,2,,
永平,2,,
葬禮,2,,
瑞金,2,,
親水,2,,
新股,2,,
視線,2,,
停靠站,2,,
日國,2,,
高效率,2,,
宋文笛,2,,
國團,2,,
代亞型,2,,
嗅覺,2,,
祖父,2,,
細支,2,,
李兆波,2,,
土台,2,,
局處,2,,
生育率,2,,
蕭茲訪,2,,
國際事務學院,2,,
警員,2,,
印太國,2,,
林義雄,2,,
朱雲鵬,2,,
道瓊盤,2,,
美國國會議員團,2,,
基幹,2,,
網際,2,,
偏向,2,편향되다,be biased toward
戒心,2,,
黃良易,2,,
外敵,2,,
勇軍,2,,
疾控,2,,
疑似病例,2,,
頓內次克,2,,
下緣,2,,
車資,2,,
台班,2,,
藝界,2,,
遊樂場,2,,
行車,2,,
字網,2,,
黃磊,2,,
美媒,2,,
圖像訊息,2,,
杭州市,2,,
移師,2,,
何韻詩,2,,
人志,2,,
於維護基,2,,
盛頓,2,,
新財政,2,,
國民眾,2,,
領導權,2,,
藥證,2,,
世界杯,2,,
謝國宜,2,,
依任務,2,,
南中國,2,,
奧野晃,2,,
反作用力,2,,
和馬,2,,
講者,2,,
種類,2,종류,species
專治,2,,
抗極權,2,,
投降派,2,,
樹防,2,,
整數,2,,
熱戰,2,,
行軍,2,,
君,2,군주,Your Majesty.
教材,2,,
雜魚,2,,
歹命,2,,
著模,2,,
天全,2,,
皮箱,2,,
柴犬,2,,
牆邊,2,,
襯,2,,
國際場,2,,
黃明昭,2,,
閩南,2,,
年收入,2,,
蔣公,2,,
保守派,2,보수파,conservative
攝者,2,,
服務,2,,
國觀,2,,
百工,2,,
國內前,2,,
濕式,2,,
全壘,2,,
薄熙,2,,
連台灣,2,,
出國,2,,
過場,2,,
福地,2,,
營業場,2,,
技窮,2,,
浯江,2,,
欄,2,,
總機,2,,
華通,2,,
倒楣,2,,
漏網,2,,
凱希力,2,,
市級,2,,
林永祥,2,,
沃茲,2,,
政策性,2,,
金融工具,2,,
趨向,2,,
和陸,2,,
權宜,2,,
助親,2,,
彈,2,탄환,bomb
新興亞洲,2,,
藥事法,2,,
國際電,2,,
主板,2,,
會力,2,,
卡地亞,2,,
文法,2,,
平常心,2,,
派候,2,,
時宜,2,,
備貨,2,,
防治法,2,,
聯,2,연관되다,joint
窗內,2,,
林慧,2,,
面罩,2,,
大訴求,2,,
蘋認,2,,
旅店,2,,
萼洋,2,,
意欲,2,,
黃燈,2,,
基底,2,,
心酸,2,,
面孔,2,,
玲,2,,
海能,2,,
經濟委員會,2,,
部副,2,부·차관,deputy of a ministry
悼詞,2,,
蔡菀瑩,2,,
建教合作,2,,
降兵,2,,
計票,2,,
晨,2,,
陳雅琳,2,,
病態,2,,
將心,2,,
源地,2,,
李錫錕,2,,
胡元輝,2,,
釩,2,,
場力,2,,
富達,2,,
美論,2,,
長梅羅,2,,
宜,2,,
歐盟會員國,2,,
制度性,2,,
阮清華,2,,
數破,2,,
鄉長,2,,
羅列,2,,
爽,2,,
飛車,2,,
發票,2,송장,Invoices
雲霄,2,,
美沙,2,,
黨產,2,,
國海軍,2,,
必爭,2,,
七美,2,,
票棄權,2,,
性價,2,,
丁守中,2,,
國家組織,2,,
漁產品,2,,
方說,2,,
玩火者,2,,
曹操,2,,
駐德,2,,
泰姬瑪,2,,
信者,2,,
權人,2,,
李朝卿,2,,
臭,2,,
郭瑞華,2,,
原由,2,,
層次,2,,
文門,2,문문,literary family
阿扁,2,,
夯實,2,,
破格,2,,
蘇巧慧,2,,
銘傳,2,,
台灣師範大學,2,,
衛權,2,,
史丹福,2,,
鏈體,2,,
國派,2,,
基督徒,2,,
遺患,2,,
題發表,2,,
視金,2,,
劉派,2,,
美牛,2,,
一黨,2,,
資資金,2,,
廚師,2,,
女學生,2,,
台長,2,,
陣,2,,
訂,2,,
老同事,2,,
沿路,2,,
機技,2,,
半島,2,반도,peninsula
置信,2,,
撞球,2,,
印學術,2,,
天堂,2,,
裁員,2,인원을 줄이다,layoff
文藝獎,2,,
發跡,2,,
試儀,2,,
內鬼,2,,
節稅,2,,
大目,2,,
瓦良格,2,,
小手,2,,
風俗,2,,
垃圾桶,2,,
台統,2,,
句子,2,,
電子化,2,,
失序,2,,
胸悶,2,,
曼德拉,2,,
型洲際,2,,
領悟,2,,
地團,2,,
人經,2,,
北韓官,2,,
煙雨,2,,
國家數,2,,
佛山,2,,
李佳,2,,
住房,2,살림집,Housing
若北韓,2,,
燈塔,2,,
台印,2,,
負報酬,2,,
塑膠袋,2,,
發病率,2,,
愛滋病,2,,
民政,2,민정,Civil administration
豪乳性,2,,
柄,2,,
愛片,2,,
想像力,2,,
禪,2,,
中國的,2,,
愛國者治港,2,패트리어트 포트리스,Patriotism in Hong Kong
基本法,2,기본법,Basic Law of the People's Republic of China
事國,2,,
藍衣,2,,
跨黨派,2,,
視窗,2,,
均勢,2,,
科磊,2,,
索性,2,,
精會神,2,,
王全璋,2,,
蔡明芳,2,,
普丁會,2,,
灣區,2,,
火場,2,,
許金騰,2,,
全黨全軍,2,,
面表,2,,
附庸,2,,
西敏宮,2,,
小谷,2,,
蹄,2,,
雪場,2,,
新宜蘭,2,,
資銜,2,,
莊旭,2,,
柴契爾,2,,
酒水,2,,
儲值,2,,
汗水,2,,
摸頭,2,,
公職候,2,,
趣味,2,,
宮格,2,,
炸鍋,2,,
生醫,2,,
水中,2,,
力表,2,,
加工量,2,,
銷路,2,,
製造緊張氣氛,2,,
樓梯,2,,
病故,2,,
老布希,2,,
雪票,2,,
天山,2,,
渡海,2,,
鴕鳥,2,,
樣態,2,,
家法,2,가법,family law
齊力,2,,
日治,2,,
管家,2,,
硬頸,2,,
交叉感染,2,,
張原,2,,
地處,2,,
駐廠,2,,
瀏海,2,,
阿爾,2,,
霸主,2,패자,Overlord
成國,2,,
潛,2,,
洛瓦,2,,
隔離場,2,,
食堂,2,,
月球,2,달,Moon (disambiguation)
音速,2,음속,speed of sound
生產鏈,2,,
儲祥生,2,,
季後,2,,
品的,2,,
大勝利,2,,
潛水,2,,
金恩,2,,
鞭策,2,,
障礙物,2,,
路障,2,,
出版社,2,출판사,publishing house
民權,2,,
建國聯盟,2,,
博碩士,2,,
俄羅斯衛星,2,,
赫松州,2,,
巴拉克,2,,
事方,2,,
陽路,2,,
滿朝,2,,
空位,2,,
區曲,2,,
方人,2,,
楊靜宇,2,,
董,2,,
習體,2,,
嚴陣,2,,
勢令,2,,
大點,2,,
大寧路,2,,
百分比,2,,
開業,2,,
委員候,2,,
莊瑞雄,2,,
金色,2,,
臉書貼,2,,
淮海,2,,
習系,2,,
方舟子,2,,
中紀委書記,2,,
園內,2,,
學府,2,,
安撫,2,,
歐美地區,2,,
蛤絲,2,,
市鎮,2,,
老長,2,,
希特勒,2,,
眼角,2,,
新鎮,2,,
股匯市,2,,
天公,2,,
區亭林,2,,
名國會,2,,
羅谷,2,,
墩鎮,2,,
全國黨,2,,
區車,2,,
將軍,2,장군,General.
赫格,2,,
溫室,2,,
基里,2,,
月續約,2,,
吉家網,2,,
政治理念,2,,
同性,2,,
吳淞,2,,
衛台灣,2,,
單親,2,,
顧村鎮,2,,
影后,2,,
新高峰,2,,
利亞,2,레아,Leah (disambiguation)
衷心,2,,
涇鎮,2,,
心防者,2,,
新村,2,,
手帕,2,,
亞太助,2,,
亞系,2,,
所花,2,,
特首,2,특수,chief executive
老將,2,,
客數,2,,
低端,2,,
風情,2,,
草花,2,,
劉國,2,,
李干杰,2,,
何立峰,2,허리펑,Ho Li-feng (disambiguation)
沃洛丁,2,,
陳吉寧,2,,
閒錢,2,,
安部,2,,
鈴蘭花,2,,
意念,2,,
百合花,2,,
笨蛋,2,,
外合,2,,
東東,2,,
鬱,2,,
性會,2,,
太上皇,2,,
李思賢,2,,
責任區,2,,
無錫,2,,
菩薩,2,,
郵政,2,,
長子,2,,
中澳,2,,
嘉南,2,,
單數,2,,
大字,2,,
酸言酸,2,,
綠,2,,
屏蔽,2,,
夾壓,2,,
均價,2,,
重彈,2,,
老調,2,,
寒流,2,,
藥物者,2,,
異曲,2,,
長皮,2,,
慶福,2,,
殿堂,2,,
肩頭,2,,
國首,2,,
環線,2,,
資訊長,2,,
生息,2,,
諸於,2,,
原站,2,,
北韓國,2,,
台鐵豐,2,,
修改草案,2,,
捷運松,2,,
議者,2,,
林國春,2,,
音器,2,,
戰局,2,전국,war situation
抱團,2,,
睡覺,2,,
富人,2,,
張欣民,2,,
華國鋒,2,,
外援,2,,
延安市,2,,
陳秀寶,2,,
權值,2,가중치,weight
懲罰性,2,,
陸台,2,,
陸台生,2,,
大順,2,,
柯夫,2,,
鄂夏,2,,
考績,2,,
大難,2,,
旗海,2,,
交手,2,,
線報,2,,
經手,2,,
歷時,2,,
起碼,2,,
法語,2,,
羅,2,,
翁章,2,,
王育敏,2,왕위민,Wang Yumin (disambiguation)
賴,2,,
扈,2,,
蒙上,2,,
歐洲聯盟執行委員會,2,,
鄭天,2,,
陝西省,2,,
雙贏,2,,
德國聯邦,2,,
留學生,2,,
稻草,2,,
道瓊工業,2,,
教科,2,,
新民,2,,
狗屁,2,,
早安,2,,
省事,2,,
森健良,2,,
趙賢東,2,,
軍令,2,,
土壤,2,,
燈籠,2,,
國名,2,,
韓儒伯,2,한유백,Han Jubal (disambiguation)
親戚,2,,
外國影視,2,,
定向,2,방향을 정하다,orientation
一空,2,,
外國使館,2,,
地坦誠,2,,
霧化杯,2,,
江西,2,,
智庫德國,2,,
廣西,2,광시성,Guangxi Province
載體,2,,
重訓室,2,,
辦事處,2,사무소,Office
推椅,2,,
黨德,2,,
議定書,2,,
人車,2,,
門下,2,,
白宮國,2,백악관국,White House state
衛環委員會,2,,
中集團,2,,
財經網,2,,
警備隊,2,,
衝區,2,,
大台,2,,
出站,2,,
槍聲,2,,
被子,2,,
港媒,2,,
烏東,2,우동,Udon (disambiguation)
黃坤,2,,
歐洲團,2,,
自由派,2,,
於民,2,,
信服,2,,
力主,2,,
業司,2,,
大閉幕會,2,,
部商,2,,
官員會,2,,
股神,2,,
瓶頸,2,,
國理,2,,
態時,2,,
煤炭,2,석탄,coal
泰迪,2,,
暖化,2,,
方會,2,,
中作樂,2,,
用字,2,,
山脈,2,,
售價,2,,
歸隊,2,,
馬習會,2,마습회,Horse Society
新軍,2,,
圈套,2,,
實事求,2,,
陳君天,2,,
之江,2,,
障礙者,2,,
血本,2,,
要爭,2,,
衛生環境委員會,2,,
著眼,2,눈에 띄다,pay attention to
位黨籍,2,,
混日子,2,,
報導置,2,,
市井小民,2,,
商業電台,2,,
抗壓,2,,
書本,2,,
少數,2,,
律己,2,,
本性,2,,
工總,2,노동조합 총연합회,Federation of Trade Unions
信台,2,,
計算機,2,,
律人,2,,
股團隊,2,,
引頸,2,,
治軍,2,,
投,2,,
單人,2,,
加藤,2,,
曹啟鴻,2,,
西海,2,,
作假,2,,
昆明,2,,
小物,2,,
浪費力,2,,
白名,2,,
功勞,2,,
恆春半島,2,,
大巴,2,,
地下室,2,,
平潭,2,핑탄,a flat pool
官校,2,,
豪,2,,
黃振業,2,,
侍衛長,2,,
莫及,2,,
洽商,2,,
學長,2,,
廊道,2,,
產設施,2,,
陣風,2,,
協理,2,,
患病,2,,
旋翼,2,,
儀器,2,,
情治,2,정치,emotional control
電郵,2,,
敦,2,,
詹姆士,2,,
韓海軍,2,,
文質,2,,
范,2,,
降類,2,,
姑息,2,,
野火,2,,
燎原,2,,
富宇,2,,
日商,2,,
香榭,2,,
仁發,2,,
航空界,2,,
雪梨,2,,
鴉片,2,,
警界,2,,
楊浦,2,,
單位場,2,,
浦區,2,,
神壇,2,,
范哈佳,2,,
攤販,2,,
分裂法,2,,
周興哲,2,,
人夫,2,,
荷蘭眾議院,2,,
蒙混,2,,
遠端,2,원단,distal end
大區,2,,
福岡,2,,
生逢其,2,,
重典,2,,
周韻采,2,,
遺忘,2,,
陳道銀,2,,
智利,2,,
馬興,2,,
南韓軍,2,,
羅素,2,,
郭献文,2,,
銀,2,은,silver
科長,2,,
南美洲,2,,
陳炳辰,2,,
台中港,2,,
頭份,2,,
加工品,2,,
慣用,2,,
報室,2,,
產情,2,,
蔡正元,2,,
諸國,2,,
季節性,2,,
幾波,2,,
何美鄉,2,,
萬寶,2,만보,treasure
王榮旭,2,,
證期,2,,
國族,2,,
史觀,2,,
心腦,2,,
公辦政,2,,
遠雄,2,,
新員,2,,
樓棟,2,,
季獲利,2,,
走狗,2,,
彭立發,2,,
同伴,2,,
公司股票,2,,
小弟,2,,
降雨,2,,
局統,2,,
線民,2,,
頻,2,,
梨花,2,,
飼料,2,,
蘇傑生,2,,
苦衷,2,,
斗六,2,,
鄭武樾,2,,
寒蟬,2,,
海警,2,해경,Coast Guard
高級,2,,
都基,2,,
風範,2,,
界限,2,,
熱帶性,2,,
結案,2,,
逆境,2,,
作溝,2,,
百計,2,,
投入量,2,,
脈動,2,,
中國華中,2,,
華僑,2,,
屠宰,2,,
網購,2,,
西區,2,,
劉曉峰,2,,
中國醫藥大學,2,,
大路,2,,
易事,2,,
青,2,,
深表,2,,
降半旗,2,,
中歐,2,중부 유럽,Central Europe
海陸,2,,
居首,2,,
編隊,2,파인애플,Pineapple (disambiguation)
推文,2,,
白蘭斯,2,,
張揚,2,,
購物網,2,,
孫政才,2,,
惡化,2,,
康乃爾,2,,
於一人,2,,
糧,2,,
等國,2,,
計次,2,,
車位,2,,
站點,2,,
規定車,2,,
道路交通,2,,
依靠人民,2,,
